Name;Land;Form;Träger;Promotionsrecht;Gründung;Studierende;Stand
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig; SN;FH;staatlich;ja;1843;1.036;2012/13 (WS)
Hochschule für Technik, Wirtschaft und Kultur Leipzig; SN;FH;staatlich;nein;1992;6.277;2012/13 (WS)
Hochschule für Telekommunikation Leipzig; SN;FH;privat;nein;1991;1.004;2012/13 (WS)
Universität Leipzig; SN;Uni;staatlich;ja;1409;28.727;2019/20 (WS)
Technische Hochschule Ostwestfalen-Lippe (Lemgo); NW;FH;staatlich;nein;1971;6.361;2012/13 (WS)
Internationale Hochschule Liebenzell; BW;FH;konfessionell;nein;2011;69;2012/13 (WS)
Akademie für Darstellende Kunst Baden-Württemberg (Ludwigsburg); BW;FH;staatlich;nein;2007;55;2013/14 (WS)
Filmakademie Baden-Württemberg (Ludwigsburg); BW;FH;staatlich;nein;1991;500;2014
Evangelische Hochschule Ludwigsburg; BW;FH;konfessionell;nein;1971;1.028;2012/13 (WS)
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg; BW;FH;staatlich;nein;1999;1.902;2012/13 (WS)
Pädagogische Hochschule Ludwigsburg; BW;PH;staatlich;ja;1962;5.639;2016/17 (WS)
Hochschule für Wirtschaft und Gesellschaft Ludwigshafen; RP;FH;staatlich;nein;1965;4.674;2018/19 (WS)
Technische Hochschule Lübeck; SH;FH;staatlich;nein;1969;5.056;2019 (SS)
Leuphana Universität Lüneburg; NI;Uni;staatlich;ja;1946;9.595;2019/20 (WS)
Musikhochschule Lübeck; SH;FH;staatlich;nein;1973;369;2012/13 (WS)
Universität zu Lübeck; SH;Uni;staatlich;ja;1964;5.331;2019/20 (WS)
Otto-von-Guericke-Universität Magdeburg; ST;Uni;staatlich;ja;1993;13.797;2019/20 (WS)
Hochschule Magdeburg-Stendal; ST;FH;staatlich;nein;1991;5.664;2018/19 (WS)
Hochschule Mainz; RP;FH;staatlich;nein;1971;5.607;2018/19 (WS)
Katholische Hochschule Mainz; RP;FH;konfessionell;nein;1972;1.438;2018/19 (WS)
Johannes Gutenberg-Universität Mainz; RP;Uni;staatlich;ja;1477/1946;31.064;2018/19 (WS)
Hochschule der Bundesagentur für Arbeit (Mannheim, Schwerin); BW;FH;staatlich;nein;2006;849;2012/13 (WS)
